id	dg_X	dg_Y	ave_X	ave_Y	status	deliveryNum	travelTimeToLoc	deliveryID	orderTime	start_X	start_Y	startTime	endTime	end_X	end_Y	totalOrderTime	travelTime
1	9	14			ready	1.0	0.0	1785.0	14.0	5.0	7.0	17.0	28.0	9.0	14.0	14.0	12
4	25	-2			ready	1.0	0.0	435.0	13.0	18.0	3.0	17.0	29.0	25.0	-2.0	16.0	20
5	16	13			ready	1.0	0.0	151.0	17.0	10.0	10.0	21.0	30.0	16.0	13.0	13.0	8
8	-1	1			ready	3.0	10.0	1326.0	4.0	-1.0	3.0	10.0	12.0	-1.0	1.0	8.0	21
9	8	15			ready	1.0	0.0	2.0	19.0	1.0	10.0	20.0	32.0	8.0	15.0	13.0	14
10	15	15			ready	1.0	0.0	1629.0	20.0	9.0	10.0	25.0	36.0	15.0	15.0	16.0	9
14	25	7			ready	1.0	0.0	1285.0	14.0	20.0	2.0	20.0	30.0	25.0	7.0	16.0	11
17	1	-3			ready	1.0	0.0	386.0	8.0	6.0	0.0	8.0	16.0	1.0	-3.0	8.0	23
18	18	14			ready	1.0	0.0	1130.0	13.0	11.0	7.0	14.0	28.0	18.0	14.0	15.0	11
20	16	-2			ready	1.0	0.0	675.0	13.0	19.0	0.0	19.0	24.0	16.0	-2.0	11.0	11
21	-4	15			ready	1.0	0.0	23.0	19.0	1.0	10.0	21.0	31.0	-4.0	15.0	12.0	26
22	16	-4			ready	1.0	0.0	514.0	23.0	11.0	2.0	26.0	37.0	16.0	-4.0	14.0	13
23	19	6			ready	1.0	0.0	478.0	10.0	12.0	5.0	11.0	19.0	19.0	6.0	9.0	6
24	20	3			ready	1.0	0.0	494.0	21.0	15.0	9.0	22.0	33.0	20.0	3.0	12.0	10
25	17	5			ready	1.0	15.0	924.0	12.0	19.0	3.0	15.0	19.0	17.0	5.0	7.0	5
26	21	4			ready	1.0	6.0	1563.0	0.0	16.0	5.0	6.0	12.0	21.0	4.0	12.0	10
29	3	-1			ready	1.0	0.0	1318.0	21.0	1.0	5.0	23.0	31.0	3.0	-1.0	10.0	19
33	21	11			ready	1.0	0.0	56.0	21.0	15.0	6.0	25.0	36.0	21.0	11.0	15.0	11
34	20	6			ready	1.0	0.0	669.0	12.0	19.0	0.0	18.0	25.0	20.0	6.0	13.0	7
35	20	15			ready	1.0	0.0	975.0	3.0	18.0	9.0	3.0	11.0	20.0	15.0	8.0	14
36	2	-2			ready	1.0	0.0	1426.0	16.0	9.0	1.0	17.0	27.0	2.0	-2.0	11.0	21
38	15	11			ready	1.0	0.0	787.0	2.0	20.0	5.0	3.0	14.0	15.0	11.0	12.0	5
40	15	11			ready	1.0	0.0	810.0	5.0	12.0	5.0	5.0	14.0	15.0	11.0	9.0	5
41	10	13			ready	1.0	0.0	457.0	25.0	12.0	5.0	40.0	50.0	10.0	13.0	25.0	10
42	26	0			ready	1.0	0.0	1364.0	1.0	19.0	6.0	2.0	15.0	26.0	0.0	14.0	19
43	6	0			ready	1.0	0.0	531.0	9.0	11.0	2.0	9.0	16.0	6.0	0.0	7.0	15
46	21	0			ready	1.0	0.0	239.0	17.0	15.0	6.0	21.0	33.0	21.0	0.0	16.0	14
47	14	6			ready	1.0	0.0	1671.0	22.0	20.0	8.0	40.0	48.0	14.0	6.0	26.0	1
48	20	6			ready	1.0	0.0	47.0	16.0	15.0	6.0	19.0	24.0	20.0	6.0	8.0	7
50	21	-2			ready	1.0	0.0	782.0	17.0	20.0	5.0	26.0	34.0	21.0	-2.0	17.0	16
52	23	10			ready	1.0	0.0	132.0	22.0	16.0	6.0	30.0	41.0	23.0	10.0	19.0	12
53	16	-2			ready	1.0	0.0	254.0	16.0	19.0	4.0	22.0	31.0	16.0	-2.0	15.0	11
58	6	4			ready	1.0	0.0	469.0	6.0	12.0	5.0	6.0	13.0	6.0	4.0	7.0	11
59	8	12			ready	1.0	0.0	1481.0	21.0	6.0	7.0	25.0	32.0	8.0	12.0	11.0	11
60	-3	-4			ready	1.0	0.0	1460.0	42.0	3.0	1.0	44.0	55.0	-3.0	-4.0	13.0	28
61	11	13			ready	1.0	0.0	236.0	28.0	15.0	6.0	31.0	42.0	11.0	13.0	14.0	9
62	16	7			ready	1.0	0.0	681.0	26.0	19.0	0.0	27.0	37.0	16.0	7.0	11.0	2
63	7	5			ready	1.0	0.0	943.0	39.0	13.0	10.0	41.0	52.0	7.0	5.0	13.0	9
66	8	12			ready	1.0	0.0	234.0	26.0	15.0	6.0	28.0	41.0	8.0	12.0	15.0	11
67	15	15			ready	1.0	0.0	969.0	42.0	18.0	9.0	43.0	52.0	15.0	15.0	10.0	9
68	18	0			ready	1.0	0.0	1352.0	33.0	19.0	6.0	35.0	42.0	18.0	0.0	9.0	11
69	5	1			ready	1.0	0.0	613.0	30.0	10.0	2.0	30.0	36.0	5.0	1.0	6.0	15
70	9	5			ready	1.0	0.0	416.0	40.0	4.0	4.0	43.0	49.0	9.0	5.0	9.0	7
71	6	-1			ready	1.0	0.0	705.0	42.0	9.0	4.0	43.0	51.0	6.0	-1.0	9.0	16
74	16	7			ready	1.0	0.0	583.0	32.0	20.0	2.0	34.0	43.0	16.0	7.0	11.0	2
75	24	8			ready	1.0	0.0	794.0	31.0	20.0	5.0	35.0	42.0	24.0	8.0	11.0	11
76	8	5			ready	1.0	0.0	1729.0	46.0	5.0	8.0	49.0	55.0	8.0	5.0	9.0	8
77	5	14			ready	1.0	0.0	1733.0	34.0	5.0	8.0	35.0	41.0	5.0	14.0	7.0	16
79	27	4			ready	1.0	0.0	809.0	28.0	20.0	5.0	28.0	36.0	27.0	4.0	8.0	16
80	6	-2			ready	1.0	0.0	1295.0	30.0	1.0	5.0	33.0	45.0	6.0	-2.0	15.0	17
83	12	12			ready	1.0	0.0	1334.0	35.0	5.0	5.0	36.0	50.0	12.0	12.0	15.0	7
85	-2	16			ready	1.0	0.0	5.0	52.0	1.0	10.0	55.0	64.0	-2.0	16.0	12.0	25
86	23	7			ready	1.0	0.0	139.0	33.0	16.0	6.0	36.0	44.0	23.0	7.0	11.0	9
88	6	-1			ready	1.0	0.0	896.0	29.0	1.0	4.0	31.0	41.0	6.0	-1.0	12.0	16
89	1	2			ready	1.0	0.0	1798.0	46.0	5.0	7.0	48.0	57.0	1.0	2.0	11.0	18
90	20	7			ready	1.0	0.0	230.0	27.0	15.0	6.0	29.0	35.0	20.0	7.0	8.0	6
93	7	5			ready	1.0	0.0	1002.0	26.0	11.0	8.0	26.0	33.0	7.0	5.0	7.0	9
94	13	15			ready	1.0	0.0	163.0	34.0	10.0	10.0	36.0	44.0	13.0	15.0	10.0	9
95	3	-3			ready	1.0	0.0	883.0	36.0	1.0	4.0	41.0	50.0	3.0	-3.0	14.0	21
96	7	12			ready	1.0	0.0	1165.0	26.0	8.0	5.0	27.0	35.0	7.0	12.0	9.0	12
99	7	13			ready	1.0	0.0	1093.0	28.0	0.0	10.0	28.0	38.0	7.0	13.0	10.0	13
100	18	17			ready	1.0	0.0	189.0	30.0	18.0	10.0	31.0	38.0	18.0	17.0	8.0	14
103	7	13			ready	1.0	0.0	10.0	31.0	1.0	10.0	32.0	41.0	7.0	13.0	10.0	13
104	3	1			ready	1.0	0.0	1292.0	31.0	1.0	5.0	35.0	41.0	3.0	1.0	10.0	17
