dg_id	ptax	ptay	ptbx	ptby	pta-t	ptb-t	deliveryID	mockPt
0.0	11.0	6.0	11.0	2.0	350.0	354.0	513.0	0.0
0.0	11.0	2.0	5.0	-2.0	354.0	364.0	513.0	100.0
2.0	15.0	9.0	15.0	9.0	358.0	358.0	489.0	0.0
2.0	15.0	9.0	15.0	13.0	358.0	362.0	489.0	100.0
3.0	20.0	10.0	18.0	9.0	357.0	360.0	989.0	0.0
3.0	18.0	9.0	14.0	16.0	360.0	371.0	989.0	100.0
6.0	3.0	2.0	3.0	3.0	355.0	356.0	117.0	0.0
6.0	3.0	3.0	4.0	0.0	356.0	360.0	117.0	100.0
7.0	17.0	0.0	15.0	0.0	356.0	358.0	1553.0	0.0
7.0	15.0	0.0	18.0	-2.0	358.0	363.0	1553.0	100.0
11.0	6.0	0.0	4.0	0.0	357.0	359.0	1610.0	0.0
11.0	4.0	0.0	1.0	-1.0	359.0	363.0	1610.0	100.0
12.0	10.0	9.0	11.0	8.0	356.0	358.0	1003.0	0.0
12.0	11.0	8.0	13.0	12.0	358.0	364.0	1003.0	100.0
13.0	19.0	3.0	19.0	4.0	356.0	357.0	262.0	0.0
13.0	19.0	4.0	25.0	4.0	357.0	363.0	262.0	100.0
15.0	13.0	5.0	11.0	2.0	351.0	356.0	511.0	0.0
15.0	11.0	2.0	7.0	7.0	356.0	365.0	511.0	100.0
16.0	8.0	11.0	8.0	10.0	356.0	357.0	751.0	0.0
16.0	8.0	10.0	5.0	4.0	357.0	366.0	751.0	100.0
19.0	5.0	4.0	5.0	5.0	356.0	357.0	1324.0	0.0
19.0	5.0	5.0	12.0	12.0	357.0	371.0	1324.0	100.0
27.0	2.0	3.0	3.0	3.0	359.0	360.0	656.0	0.0
27.0	3.0	3.0	6.0	4.0	360.0	364.0	656.0	100.0
28.0	6.0	1.0	12.0	1.0	357.0	363.0	738.0	0.0
28.0	12.0	1.0	12.0	8.0	363.0	370.0	738.0	100.0
30.0	8.0	10.0	1.0	10.0	343.0	350.0	20.0	0.0
30.0	1.0	10.0	6.0	16.0	350.0	361.0	20.0	100.0
31.0	10.0	9.0	10.0	10.0	354.0	355.0	150.0	0.0
31.0	10.0	10.0	14.0	9.0	355.0	360.0	150.0	100.0
32.0	9.0	7.0	6.0	7.0	350.0	353.0	1490.0	0.0
32.0	6.0	7.0	8.0	14.0	353.0	362.0	1490.0	100.0
37.0	16.0	6.0	14.0	7.0	349.0	352.0	569.0	0.0
37.0	14.0	7.0	19.0	12.0	352.0	362.0	569.0	100.0
39.0	13.0	7.0	11.0	7.0	359.0	361.0	1117.0	0.0
39.0	11.0	7.0	10.0	11.0	361.0	366.0	1117.0	100.0
44.0	12.0	6.0	12.0	5.0	359.0	360.0	452.0	0.0
44.0	12.0	5.0	12.0	9.0	360.0	364.0	452.0	100.0
45.0	18.0	1.0	14.0	1.0	349.0	353.0	1229.0	0.0
45.0	14.0	1.0	12.0	7.0	353.0	361.0	1229.0	100.0
49.0	10.0	5.0	11.0	2.0	356.0	360.0	520.0	0.0
49.0	11.0	2.0	16.0	4.0	360.0	367.0	520.0	100.0
51.0	11.0	5.0	8.0	5.0	347.0	350.0	1156.0	0.0
51.0	8.0	5.0	15.0	9.0	350.0	361.0	1156.0	100.0
54.0	18.0	6.0	16.0	6.0	350.0	352.0	133.0	0.0
54.0	16.0	6.0	21.0	9.0	352.0	360.0	133.0	100.0
55.0	16.0	-1.0	12.0	1.0	354.0	360.0	725.0	0.0
55.0	12.0	1.0	8.0	8.0	360.0	371.0	725.0	100.0
56.0	8.0	8.0	5.0	8.0	356.0	359.0	1736.0	0.0
56.0	5.0	8.0	-2.0	15.0	359.0	373.0	1736.0	100.0
57.0	3.0	14.0	0.0	10.0	357.0	364.0	1109.0	0.0
57.0	0.0	10.0	-1.0	15.0	364.0	370.0	1109.0	100.0
64.0	2.0	3.0	1.0	4.0	346.0	348.0	887.0	0.0
64.0	1.0	4.0	8.0	9.0	348.0	360.0	887.0	100.0
65.0	18.0	2.0	18.0	2.0	356.0	356.0	279.0	0.0
65.0	18.0	2.0	11.0	6.0	356.0	367.0	279.0	100.0
72.0	0.0	2.0	1.0	5.0	351.0	355.0	1313.0	0.0
72.0	1.0	5.0	2.0	-1.0	355.0	362.0	1313.0	100.0
73.0	16.0	-1.0	12.0	1.0	356.0	362.0	731.0	0.0
73.0	12.0	1.0	16.0	1.0	362.0	366.0	731.0	100.0
78.0	0.0	3.0	1.0	4.0	354.0	356.0	871.0	0.0
78.0	1.0	4.0	7.0	7.0	356.0	365.0	871.0	100.0
81.0	-1.0	2.0	1.0	4.0	358.0	362.0	891.0	0.0
81.0	1.0	4.0	8.0	6.0	362.0	371.0	891.0	100.0
82.0	19.0	3.0	19.0	4.0	353.0	354.0	242.0	0.0
82.0	19.0	4.0	17.0	11.0	354.0	363.0	242.0	100.0
84.0	15.0	-2.0	15.0	0.0	350.0	352.0	1540.0	0.0
84.0	15.0	0.0	22.0	1.0	352.0	360.0	1540.0	100.0
87.0	15.0	7.0	14.0	7.0	358.0	359.0	556.0	0.0
87.0	14.0	7.0	12.0	7.0	359.0	361.0	556.0	100.0
91.0	-4.0	13.0	0.0	10.0	353.0	360.0	1098.0	0.0
91.0	0.0	10.0	4.0	16.0	360.0	370.0	1098.0	100.0
92.0	8.0	5.0	10.0	2.0	343.0	348.0	602.0	0.0
92.0	10.0	2.0	16.0	8.0	348.0	360.0	602.0	100.0
97.0	18.0	11.0	18.0	10.0	354.0	355.0	205.0	0.0
97.0	18.0	10.0	11.0	11.0	355.0	363.0	205.0	100.0
98.0	7.0	9.0	8.0	10.0	358.0	360.0	765.0	0.0
98.0	8.0	10.0	11.0	5.0	360.0	368.0	765.0	100.0
101.0	14.0	6.0	14.0	7.0	359.0	360.0	555.0	0.0
101.0	14.0	7.0	17.0	13.0	360.0	369.0	555.0	100.0
102.0	8.0	5.0	8.0	5.0	357.0	357.0	1152.0	0.0
102.0	8.0	5.0	15.0	0.0	357.0	369.0	1152.0	100.0
107.0	17.0	10.0	18.0	10.0	355.0	356.0	190.0	0.0
107.0	18.0	10.0	16.0	3.0	356.0	365.0	190.0	100.0
114.0	11.0	11.0	13.0	10.0	355.0	358.0	947.0	0.0
114.0	13.0	10.0	15.0	7.0	358.0	363.0	947.0	100.0
115.0	2.0	2.0	1.0	4.0	350.0	353.0	1688.0	0.0
115.0	1.0	4.0	6.0	1.0	353.0	361.0	1688.0	100.0
117.0	21.0	1.0	19.0	1.0	357.0	359.0	840.0	0.0
117.0	19.0	1.0	16.0	8.0	359.0	369.0	840.0	100.0
119.0	19.0	8.0	20.0	8.0	357.0	358.0	1526.0	0.0
119.0	20.0	8.0	20.0	15.0	358.0	365.0	1526.0	100.0
