dg_id	ptax	ptay	ptbx	ptby	pta-t	ptb-t	deliveryID	mockPt
0.0	5.0	4.0	5.0	5.0	16.0	17.0	1342.0	0.0
0.0	5.0	5.0	11.0	6.0	17.0	24.0	1342.0	100.0
0.0	11.0	6.0	14.0	1.0	24.0	32.0	1222.0	0.0
0.0	14.0	1.0	17.0	1.0	32.0	35.0	1222.0	100.0
0.0	17.0	1.0	15.0	0.0	35.0	38.0	1546.0	0.0
0.0	15.0	0.0	15.0	-2.0	38.0	40.0	1546.0	100.0
0.0	11.0	6.0	10.0	2.0	50.0	55.0	628.0	0.0
0.0	10.0	2.0	7.0	5.0	55.0	61.0	628.0	100.0
0.0	11.0	6.0	11.0	7.0	63.0	64.0	1116.0	0.0
0.0	11.0	7.0	5.0	13.0	64.0	76.0	1116.0	100.0
0.0	11.0	6.0	11.0	2.0	81.0	85.0	521.0	0.0
0.0	11.0	2.0	8.0	7.0	85.0	93.0	521.0	100.0
0.0	11.0	6.0	11.0	8.0	94.0	96.0	991.0	0.0
0.0	11.0	8.0	19.0	1.0	96.0	111.0	991.0	100.0
0.0	11.0	6.0	11.0	7.0	116.0	117.0	1122.0	0.0
0.0	11.0	7.0	6.0	0.0	117.0	129.0	1122.0	100.0
0.0	11.0	6.0	11.0	8.0	129.0	131.0	990.0	0.0
0.0	11.0	8.0	9.0	10.0	131.0	135.0	990.0	100.0
0.0	11.0	6.0	12.0	1.0	135.0	141.0	749.0	0.0
0.0	12.0	1.0	17.0	-2.0	141.0	149.0	749.0	100.0
0.0	11.0	6.0	9.0	3.0	150.0	155.0	1750.0	0.0
0.0	9.0	3.0	8.0	5.0	155.0	158.0	1750.0	100.0
0.0	11.0	6.0	11.0	7.0	158.0	159.0	1110.0	0.0
0.0	11.0	7.0	17.0	4.0	159.0	168.0	1110.0	100.0
0.0	11.0	6.0	12.0	5.0	176.0	178.0	827.0	0.0
0.0	12.0	5.0	15.0	5.0	178.0	181.0	827.0	100.0
0.0	11.0	6.0	11.0	7.0	181.0	182.0	1112.0	0.0
0.0	11.0	7.0	15.0	13.0	182.0	192.0	1112.0	100.0
0.0	11.0	6.0	11.0	7.0	192.0	193.0	1111.0	0.0
0.0	11.0	7.0	5.0	14.0	193.0	206.0	1111.0	100.0
0.0	11.0	6.0	11.0	8.0	210.0	212.0	996.0	0.0
0.0	11.0	8.0	14.0	12.0	212.0	219.0	996.0	100.0
0.0	11.0	6.0	11.0	7.0	223.0	224.0	1127.0	0.0
0.0	11.0	7.0	15.0	9.0	224.0	230.0	1127.0	100.0
0.0	11.0	6.0	9.0	3.0	230.0	235.0	1741.0	0.0
0.0	9.0	3.0	15.0	7.0	235.0	245.0	1741.0	100.0
0.0	11.0	6.0	11.0	2.0	251.0	255.0	519.0	0.0
0.0	11.0	2.0	12.0	5.0	255.0	259.0	519.0	100.0
0.0	11.0	6.0	11.0	2.0	267.0	271.0	537.0	0.0
0.0	11.0	2.0	4.0	1.0	271.0	279.0	537.0	100.0
0.0	11.0	6.0	11.0	7.0	282.0	283.0	1113.0	0.0
0.0	11.0	7.0	15.0	4.0	283.0	290.0	1113.0	100.0
0.0	11.0	6.0	12.0	1.0	292.0	298.0	733.0	0.0
0.0	12.0	1.0	15.0	-4.0	298.0	306.0	733.0	100.0
0.0	11.0	6.0	11.0	7.0	313.0	314.0	1136.0	0.0
0.0	11.0	7.0	16.0	7.0	314.0	319.0	1136.0	100.0
0.0	11.0	6.0	12.0	5.0	324.0	326.0	814.0	0.0
0.0	12.0	5.0	7.0	6.0	326.0	332.0	814.0	100.0
0.0	11.0	6.0	10.0	2.0	332.0	337.0	607.0	0.0
0.0	10.0	2.0	17.0	-4.0	337.0	350.0	607.0	100.0
0.0	11.0	6.0	11.0	2.0	350.0	354.0	513.0	0.0
0.0	11.0	2.0	5.0	-2.0	354.0	364.0	513.0	100.0
1.0	6.0	9.0	5.0	7.0	14.0	17.0	1785.0	0.0
1.0	5.0	7.0	9.0	14.0	17.0	28.0	1785.0	100.0
1.0	9.0	14.0	8.0	10.0	28.0	33.0	767.0	0.0
1.0	8.0	10.0	8.0	6.0	33.0	37.0	767.0	100.0
2.0	15.0	6.0	17.0	5.0	14.0	17.0	1039.0	0.0
2.0	17.0	5.0	15.0	9.0	17.0	23.0	1039.0	100.0
2.0	15.0	9.0	5.0	5.0	23.0	37.0	1346.0	0.0
2.0	5.0	5.0	8.0	5.0	37.0	40.0	1346.0	100.0
2.0	15.0	9.0	15.0	9.0	45.0	45.0	486.0	0.0
2.0	15.0	9.0	9.0	13.0	45.0	55.0	486.0	100.0
2.0	15.0	9.0	16.0	6.0	55.0	59.0	131.0	0.0
2.0	16.0	6.0	11.0	7.0	59.0	65.0	131.0	100.0
2.0	15.0	9.0	15.0	9.0	66.0	66.0	497.0	0.0
2.0	15.0	9.0	13.0	8.0	66.0	69.0	497.0	100.0
2.0	15.0	9.0	18.0	9.0	71.0	74.0	1191.0	0.0
2.0	18.0	9.0	23.0	9.0	74.0	79.0	1191.0	100.0
2.0	15.0	9.0	15.0	9.0	91.0	91.0	501.0	0.0
2.0	15.0	9.0	18.0	14.0	91.0	99.0	501.0	100.0
2.0	15.0	9.0	15.0	6.0	99.0	102.0	41.0	0.0
2.0	15.0	6.0	18.0	12.0	102.0	111.0	41.0	100.0
2.0	15.0	9.0	15.0	9.0	116.0	116.0	503.0	0.0
2.0	15.0	9.0	12.0	9.0	116.0	119.0	503.0	100.0
2.0	15.0	9.0	15.0	9.0	121.0	121.0	483.0	0.0
2.0	15.0	9.0	13.0	5.0	121.0	127.0	483.0	100.0
2.0	15.0	9.0	14.0	7.0	127.0	130.0	1051.0	0.0
2.0	14.0	7.0	17.0	14.0	130.0	140.0	1051.0	100.0
2.0	15.0	9.0	18.0	9.0	142.0	145.0	985.0	0.0
2.0	18.0	9.0	17.0	2.0	145.0	153.0	985.0	100.0
2.0	15.0	9.0	13.0	10.0	165.0	168.0	942.0	0.0
2.0	13.0	10.0	14.0	14.0	168.0	173.0	942.0	100.0
2.0	15.0	9.0	15.0	9.0	177.0	177.0	509.0	0.0
2.0	15.0	9.0	22.0	12.0	177.0	187.0	509.0	100.0
2.0	15.0	9.0	18.0	9.0	196.0	199.0	974.0	0.0
2.0	18.0	9.0	11.0	10.0	199.0	207.0	974.0	100.0
2.0	15.0	9.0	15.0	9.0	215.0	215.0	480.0	0.0
2.0	15.0	9.0	15.0	14.0	215.0	220.0	480.0	100.0
2.0	15.0	9.0	15.0	9.0	222.0	222.0	502.0	0.0
2.0	15.0	9.0	15.0	15.0	222.0	228.0	502.0	100.0
2.0	15.0	9.0	16.0	6.0	229.0	233.0	134.0	0.0
2.0	16.0	6.0	14.0	8.0	233.0	237.0	134.0	100.0
2.0	15.0	9.0	15.0	9.0	258.0	258.0	499.0	0.0
2.0	15.0	9.0	16.0	10.0	258.0	260.0	499.0	100.0
2.0	15.0	9.0	15.0	9.0	274.0	274.0	482.0	0.0
2.0	15.0	9.0	13.0	16.0	274.0	283.0	482.0	100.0
2.0	15.0	9.0	13.0	10.0	286.0	289.0	958.0	0.0
2.0	13.0	10.0	17.0	6.0	289.0	297.0	958.0	100.0
2.0	15.0	9.0	15.0	9.0	306.0	306.0	504.0	0.0
2.0	15.0	9.0	20.0	13.0	306.0	315.0	504.0	100.0
2.0	15.0	9.0	15.0	9.0	329.0	329.0	505.0	0.0
2.0	15.0	9.0	19.0	2.0	329.0	340.0	505.0	100.0
2.0	15.0	9.0	15.0	9.0	350.0	350.0	498.0	0.0
2.0	15.0	9.0	20.0	8.0	350.0	356.0	498.0	100.0
2.0	15.0	9.0	15.0	9.0	358.0	358.0	489.0	0.0
2.0	15.0	9.0	15.0	13.0	358.0	362.0	489.0	100.0
3.0	13.0	7.0	14.0	7.0	7.0	8.0	1069.0	0.0
3.0	14.0	7.0	13.0	10.0	8.0	12.0	938.0	0.0
3.0	13.0	10.0	20.0	10.0	12.0	19.0	1069.0	100.0
3.0	20.0	10.0	17.0	6.0	19.0	26.0	938.0	100.0
3.0	17.0	6.0	16.0	5.0	26.0	28.0	1561.0	0.0
3.0	16.0	5.0	21.0	-1.0	28.0	39.0	1561.0	100.0
3.0	20.0	10.0	20.0	9.0	39.0	40.0	1249.0	0.0
3.0	20.0	9.0	14.0	14.0	40.0	51.0	1249.0	100.0
3.0	20.0	10.0	18.0	10.0	51.0	53.0	183.0	0.0
3.0	18.0	10.0	20.0	6.0	53.0	59.0	183.0	100.0
3.0	20.0	10.0	18.0	10.0	62.0	64.0	201.0	0.0
3.0	18.0	10.0	24.0	12.0	64.0	72.0	201.0	100.0
3.0	20.0	10.0	18.0	9.0	72.0	75.0	968.0	0.0
3.0	18.0	9.0	20.0	5.0	75.0	81.0	968.0	100.0
3.0	20.0	10.0	20.0	9.0	88.0	89.0	1259.0	0.0
3.0	20.0	9.0	16.0	4.0	89.0	98.0	1259.0	100.0
3.0	20.0	10.0	20.0	9.0	107.0	108.0	1257.0	0.0
3.0	20.0	9.0	14.0	8.0	108.0	115.0	1257.0	100.0
