id	dg_X	dg_Y	ave_X	ave_Y	status	deliveryNum	travelTimeToLoc	deliveryID	orderTime	start_X	start_Y	startTime	endTime	end_X	end_Y	totalOrderTime	travelTime
0	11	6			on deck	1	0	513	350	11	2	354	364	5	-2	14	10
2	15	9			on deck	1	0	489	358	15	9	358	362	15	13	4	4
3	20	10			on route	0	0	starting	357	20	10	357	360	18	9		3
3	20	10			on deck	1	0	989	357	18	9	360	371	14	16	14	11
6	3	2			on deck	1	0	117	355	3	3	356	360	4	0	5	4
7	17	0			on deck	1	0	1553	356	15	0	358	363	18	-2	7	5
11	6	0			on deck	1	0	1610	357	4	0	359	363	1	-1	6	4
12	10	9			on deck	1	0	1003	356	11	8	358	364	13	12	8	6
13	19	3			on deck	1	0	262	356	19	4	357	363	25	4	7	6
15	13	5			on deck	1	0	511	351	11	2	356	365	7	7	14	9
16	8	11			on deck	1	0	751	356	8	10	357	366	5	4	10	9
19	5	4			on deck	1	0	1324	356	5	5	357	371	12	12	15	14
27	2	3			on route	0	0	starting	359	2	3	359	360	3	3		1
27	2	3			on deck	1	0	656	359	3	3	360	364	6	4	5	4
28	6	1			on route	0	0	starting	357	6	1	357	363	12	1		6
28	6	1			on deck	1	0	738	357	12	1	363	370	12	8	13	7
30	8	10			on deck	1	0	20	343	1	10	350	361	6	16	18	11
31	10	9			on deck	1	0	150	354	10	10	355	360	14	9	6	5
32	9	7			on deck	1	0	1490	350	6	7	353	362	8	14	12	9
37	16	6			on deck	1	0	569	349	14	7	352	362	19	12	13	10
39	13	7			on route	0	0	starting	359	13	7	359	361	11	7		2
39	13	7			on deck	1	0	1117	359	11	7	361	366	10	11	7	5
44	12	6			on route	0	0	starting	359	12	6	359	360	12	5		1
44	12	6			on deck	1	0	452	359	12	5	360	364	12	9	5	4
45	18	1			on deck	1	0	1229	349	14	1	353	361	12	7	12	8
49	10	5			on route	0	0	starting	356	10	5	356	360	11	2		4
49	10	5			on deck	1	0	520	356	11	2	360	367	16	4	11	7
51	11	5			on deck	1	0	1156	347	8	5	350	361	15	9	14	11
54	18	6			on deck	1	0	133	350	16	6	352	360	21	9	10	8
55	16	-1			on route	0	0	starting	354	16	-1	354	360	12	1		6
55	16	-1			on deck	1	0	725	354	12	1	360	371	8	8	17	11
56	8	8			on deck	1	0	1736	356	5	8	359	373	-2	15	17	14
57	3	14			on route	0	0	starting	357	3	14	357	364	0	10		7
57	3	14			on deck	1	0	1109	357	0	10	364	370	-1	15	13	6
64	2	3			on deck	1	0	887	346	1	4	348	360	8	9	14	12
65	18	2			on deck	1	0	279	356	18	2	356	367	11	6	11	11
72	0	2			on deck	1	0	1313	351	1	5	355	362	2	-1	11	7
73	16	-1			on route	0	0	starting	356	16	-1	356	362	12	1		6
73	16	-1			on deck	1	0	731	356	12	1	362	366	16	1	10	4
78	0	3			on deck	1	0	871	354	1	4	356	365	7	7	11	9
81	-1	2			on route	0	0	starting	358	-1	2	358	362	1	4		4
81	-1	2			on deck	1	0	891	358	1	4	362	371	8	6	13	9
82	19	3			on deck	1	0	242	353	19	4	354	363	17	11	10	9
84	15	-2			on deck	1	0	1540	350	15	0	352	360	22	1	10	8
87	15	7			on deck	1	0	556	358	14	7	359	361	12	7	3	2
91	-4	13			on route	0	0	starting	353	-4	13	353	360	0	10		7
91	-4	13			on deck	1	0	1098	353	0	10	360	370	4	16	17	10
92	8	5			on deck	1	0	602	343	10	2	348	360	16	8	17	12
97	18	11			on deck	1	0	205	354	18	10	355	363	11	11	9	8
98	7	9			on route	0	0	starting	358	7	9	358	360	8	10		2
98	7	9			on deck	1	0	765	358	8	10	360	368	11	5	10	8
101	14	6			on route	0	0	starting	359	14	6	359	360	14	7		1
101	14	6			on deck	1	0	555	359	14	7	360	369	17	13	10	9
102	8	5			on deck	1	0	1152	357	8	5	357	369	15	0	12	12
107	17	10			on deck	1	0	190	355	18	10	356	365	16	3	10	9
114	11	11			on deck	1	0	947	355	13	10	358	363	15	7	8	5
115	2	2			on deck	1	0	1688	350	1	4	353	361	6	1	11	8
117	21	1			on deck	1	0	840	357	19	1	359	369	16	8	12	10
119	19	8			on deck	1	0	1526	357	20	8	358	365	20	15	8	7
