id	dg_X	dg_Y	status	deliveryNum	deliveryID	orderTime	startTime	start_X	start_Y	endTime	end_X	end_Y	totalOrderTime	travelTime
56	2.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
292	3.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
235	1.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
389	0.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
331	2.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
146	2.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
308	3.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
224	2.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
346	3.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
455	3.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
354	3.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
223	2.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
50	4.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
14	3.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
162	2.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
283	1.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
118	1.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
104	2.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
486	0.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
375	0.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
298	1.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
357	5.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
94	3.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
79	4.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
125	5.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
182	2.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
264	2.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
280	5.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
468	1.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
282	1.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
328	1.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
395	4.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
341	1.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
213	4.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
306	3.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
19	6.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
479	6.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
256	1.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
109	3.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
471	1.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
405	3.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
8	5.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
421	5.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
438	2.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
330	5.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
417	5.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
402	5.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
48	3.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
250	3.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
240	0.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
76	0.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
307	7.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
444	3.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
469	1.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
205	0.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
180	6.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
27	7.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
200	6.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
126	6.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
108	6.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
47	5.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
445	4.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
133	5.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
488	1.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
398	1.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
276	6.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
453	4.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
414	6.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
169	1.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
90	1.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
319	4.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
481	6.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
46	0.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
3	0.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
320	3.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
73	0.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
401	5.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
128	6.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
39	1.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
284	5.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
305	0.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
415	2.0	10.0	 	 	 	 	 	 	 	 	 	 	 	 
31	6.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
279	4.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
212	7.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
218	6.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
30	4.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
425	9.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
239	0.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
208	9.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
140	9.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
1	0.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
69	9.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
163	3.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
458	8.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
81	6.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
86	1.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
355	9.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
426	8.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
52	1.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
315	7.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
144	4.0	10.0	 	 	 	 	 	 	 	 	 	 	 	 
16	3.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
7	10.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
233	3.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
158	5.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
143	1.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
121	6.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
322	7.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
106	7.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
392	4.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
49	7.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
310	4.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
72	9.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
343	6.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
194	9.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
369	1.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
247	9.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
154	1.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
9	0.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
84	7.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
114	2.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
494	6.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
351	2.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
0	11.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
103	2.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
246	6.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
381	11.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
179	2.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
