dg_id	v_id	vend_X	vend_Y	orderNum	deliveryID	orderTime	start_X	start_Y	end_X	end_Y	startTime	endTime	totalOrderTime	travelTime	tripStart	tripEnd
0	0	9	10	43	43	13	9	10	6	7	18	24	11	6	True	True
0	0	9	10	36	36	32	9	10	3	16	35	47	15	12	True	True
0	0	9	10	52	52	57	9	10	15	7	59	68	11	9	True	False
0	0	9	10	25	25	49	15	7	3	13	68	86	37	18	False	True
0	0	9	10	22	22	97	9	10	9	10	95	95	-2	0	True	False
0	0	9	10	23	23	94	9	10	3	10	95	101	7	6	False	False
0	0	9	10	40	40	84	3	10	3	17	101	108	24	7	False	True
0	0	9	10	12	12	125	9	10	3	4	121	133	8	12	True	False
0	0	9	10	20	20	121	3	4	15	3	133	146	25	13	False	False
0	0	9	10	49	49	121	15	3	6	5	146	157	36	11	False	True
0	0	9	10	11	11	150	9	10	15	7	165	174	24	9	True	False
0	0	9	10	18	18	143	15	7	9	6	174	181	38	7	False	True
0	0	9	10	5	5	194	9	10	0	8	199	210	16	11	True	False
0	0	9	10	57	57	198	0	8	9	9	210	220	22	10	False	True
0	0	9	10	33	33	220	9	10	9	9	221	222	2	1	True	False
0	0	9	10	29	29	214	9	9	6	5	222	229	15	7	False	False
0	0	9	10	19	19	211	6	5	12	16	229	246	35	17	False	True
0	0	9	10	35	35	243	9	10	9	8	255	257	14	2	True	False
0	0	9	10	30	30	244	9	8	3	18	257	273	29	16	False	False
0	0	9	10	58	58	247	3	18	3	12	273	279	32	6	False	False
0	0	9	10	55	55	250	3	12	9	16	279	289	39	10	False	True
0	0	9	10	21	21	277	9	10	6	3	300	310	33	10	True	False
0	0	9	10	8	8	285	6	3	15	3	310	319	34	9	False	True
0	0	9	10	48	48	330	9	10	0	10	332	341	11	9	True	False
0	0	9	10	27	27	325	0	10	6	7	341	350	25	9	False	True
0	0	9	10	14	14	340	9	10	12	4	356	365	25	9	True	True
0	0	9	10	39	39	395	9	10	9	8	400	402	7	2	True	False
0	0	9	10	17	17	396	9	8	15	11	402	411	15	9	False	True
0	0	9	10	32	32	422	9	10	12	6	423	430	8	7	True	False
0	0	9	10	15	15	423	12	6	12	7	430	431	8	1	False	True
0	0	9	10	59	59	453	9	10	12	3	458	468	15	10	True	True
0	0	9	10	2	2	459	9	10	15	8	483	491	32	8	True	False
0	0	9	10	38	38	468	15	8	9	2	491	503	35	12	False	True
0	0	9	10	28	28	516	9	10	3	3	511	524	8	13	True	False
0	0	9	10	44	44	510	3	3	15	9	524	542	32	18	False	True
0	0	9	10	10	10	536	9	10	12	16	549	558	22	9	True	True
0	0	9	10	53	53	560	9	10	6	16	572	581	21	9	True	False
0	0	9	10	16	16	570	6	16	15	12	581	594	24	13	False	True
0	0	9	10	9	9	587	9	10	9	12	607	609	22	2	True	False
0	0	9	10	45	45	594	9	12	0	16	609	622	28	13	False	True
0	1	9	14	25	85	358	6	22	9	6	369	388	30	19	False	True
0	1	9	14	22	82	443	9	8	9	6	453	455	12	2	False	False
0	1	9	14	23	83	270	6	22	9	20	301	306	36	5	False	True
0	1	9	14	40	100	370	6	22	9	22	407	410	40	3	False	True
0	1	9	14	12	72	136	9	20	6	19	144	148	12	4	False	False
0	1	9	14	20	80	249	9	14	6	13	282	286	37	4	True	False
0	1	9	14	49	109	227	3	20	3	14	260	266	39	6	False	False
0	1	9	14	18	78	160	3	15	0	7	187	198	38	11	False	True
0	1	9	14	5	65	26	6	12	3	8	49	56	30	7	False	True
0	1	9	14	57	117	534	9	15	6	8	564	574	40	10	False	False
0	1	9	14	33	93	261	3	15	6	22	291	301	40	10	False	False
0	1	9	14	29	89	486	9	14	18	17	493	505	19	12	True	True
0	1	9	14	35	95	137	6	19	0	11	148	162	25	14	False	True
0	1	9	14	30	90	261	6	13	3	15	286	291	30	5	False	False
0	1	9	14	55	115	501	9	14	6	6	522	533	32	11	True	False
0	1	9	14	8	68	306	15	16	6	22	320	335	29	15	False	True
0	1	9	14	27	87	104	9	14	3	15	107	114	10	7	True	False
0	1	9	14	14	74	213	6	14	12	8	222	234	21	12	False	True
0	1	9	14	39	99	445	9	6	15	14	455	469	24	14	False	True
0	1	9	14	15	75	526	9	14	6	10	549	556	30	7	True	False
0	1	9	14	28	88	316	9	14	15	16	312	320	4	8	True	False
0	1	9	14	44	104	581	9	14	9	20	589	595	14	6	True	True
0	1	9	14	10	70	103	3	15	9	8	114	127	24	13	False	True
0	1	9	14	53	113	6	9	14	15	6	11	25	19	14	True	True
0	1	9	14	9	69	372	9	14	6	22	396	407	35	11	True	False
0	1	9	14	45	105	189	9	14	6	14	219	222	33	3	True	False
0	1	9	14	46	106	163	3	18	3	15	184	187	24	3	False	False
0	1	9	14	3	63	531	6	10	9	15	556	564	33	8	False	False
0	1	9	14	54	114	225	9	14	3	20	248	260	35	12	True	False
0	1	9	14	51	111	519	6	6	6	10	533	537	18	4	False	True
0	1	9	14	24	84	71	0	7	9	6	89	99	28	10	False	True
0	1	9	14	4	64	467	9	14	6	8	475	484	17	9	True	True
0	1	9	14	31	91	56	9	14	0	7	73	89	33	16	True	False
0	1	9	14	1	61	353	9	14	6	22	358	369	16	11	True	False
0	1	9	14	41	101	16	9	14	6	12	44	49	33	5	True	False
0	1	9	14	56	116	548	6	8	3	14	574	583	35	9	False	True
0	1	9	14	7	67	442	9	14	9	8	447	453	11	6	True	False
0	1	9	14	37	97	121	9	14	9	20	138	144	23	6	True	False
0	1	9	14	26	86	243	3	14	3	9	266	271	28	5	False	True
0	1	9	14	42	102	175	9	14	3	18	174	184	9	10	True	False
0	2	3	0	43	163	554	0	-6	0	4	571	581	27	10	False	False
0	2	3	0	36	156	289	3	0	9	0	318	324	35	6	True	False
0	2	3	0	25	145	553	3	0	0	-6	562	571	18	9	True	False
0	2	3	0	22	142	516	3	0	12	1	515	525	9	10	True	True
0	2	3	0	23	143	278	12	0	0	6	291	309	31	18	False	True
0	2	3	0	40	160	245	-6	-4	3	2	265	280	35	15	False	True
0	2	3	0	20	140	592	3	-1	12	5	597	612	20	15	False	True
0	2	3	0	18	138	338	-3	3	3	-4	351	364	26	13	False	False
0	2	3	0	5	125	462	-3	-7	-3	-2	496	501	39	5	False	False
0	2	3	0	57	177	238	3	0	-6	-4	252	265	27	13	True	False
0	2	3	0	19	139	125	3	-5	0	-6	134	138	13	4	False	False
0	2	3	0	35	155	485	-3	-2	6	-2	501	510	25	9	False	True
0	2	3	0	58	178	60	3	0	12	-4	65	78	18	13	True	True
0	2	3	0	55	175	391	-6	6	-3	6	409	412	21	3	False	True
0	2	3	0	21	141	338	3	-4	12	-7	364	376	38	12	False	True
0	2	3	0	48	168	170	3	0	6	-4	171	178	8	7	True	True
0	2	3	0	27	147	544	3	0	3	4	549	553	9	4	True	True
0	2	3	0	17	137	73	3	0	6	7	91	101	28	10	True	False
0	2	3	0	59	179	338	3	0	-3	3	342	351	13	9	True	False
0	2	3	0	2	122	185	3	0	6	0	190	193	8	3	True	True
0	2	3	0	38	158	21	12	1	-3	7	31	52	31	21	False	True
0	2	3	0	28	148	284	3	0	12	0	282	291	7	9	True	False
0	2	3	0	44	164	93	-3	7	-6	6	110	114	21	4	False	True
0	2	3	0	10	130	460	3	0	-3	-7	483	496	36	13	True	False
0	2	3	0	53	173	291	9	0	9	1	324	325	34	1	False	False
0	2	3	0	16	136	596	3	0	3	-1	596	597	1	1	True	False
0	2	3	0	45	165	392	3	0	-3	-1	392	399	7	7	True	False
0	2	3	0	3	123	16	3	0	12	1	21	31	15	10	True	False
0	2	3	0	51	171	122	0	-6	9	6	138	159	37	21	False	True
0	2	3	0	1	121	221	3	0	-3	-3	229	238	17	9	True	True
0	2	3	0	56	176	132	3	0	3	-5	129	134	2	5	True	False
0	2	3	0	7	127	203	3	0	-3	-2	208	216	13	8	True	True
0	2	3	0	26	146	411	3	0	-3	-5	429	440	29	11	True	True
0	2	3	0	42	162	73	6	7	-3	7	101	110	37	9	False	False
0	2	3	0	34	154	436	3	0	-6	7	451	467	31	16	True	True
0	2	3	0	13	133	392	-3	-1	-6	6	399	409	17	10	False	False
0	2	3	0	0	120	296	9	1	6	-5	325	334	38	9	False	True
0	2	3	0	6	126	561	0	4	6	-1	581	592	31	11	False	True
0	3	9	3	36	216	408	9	3	6	1	422	427	19	5	True	False
0	3	9	3	52	232	581	9	3	15	-1	577	587	6	10	True	False
0	3	9	3	40	220	575	15	-1	0	7	587	610	35	23	False	True
0	3	9	3	20	200	75	6	11	18	7	98	114	39	16	False	True
0	3	9	3	11	191	337	9	3	9	6	364	367	30	3	True	False
0	3	9	3	18	198	498	9	7	3	-3	507	523	25	16	False	False
0	3	9	3	5	185	40	9	3	15	0	44	53	13	9	True	False
0	3	9	3	57	237	9	9	3	0	9	14	29	20	15	True	False
0	3	9	3	29	209	225	3	-4	9	0	242	252	27	10	False	True
0	3	9	3	19	199	180	12	4	15	-1	211	219	39	8	False	True
0	3	9	3	35	215	352	12	11	18	7	375	385	33	10	False	True
0	3	9	3	58	238	135	9	3	3	-4	153	166	31	13	True	True
0	3	9	3	55	235	448	9	3	15	-5	444	458	10	14	True	False
0	3	9	3	21	201	452	9	3	6	4	483	487	35	4	True	False
0	3	9	3	27	207	13	0	9	3	9	29	32	19	3	False	True
0	3	9	3	14	194	34	15	0	3	-4	53	69	35	16	False	True
0	3	9	3	39	219	269	9	3	3	-3	287	299	30	12	True	False
0	3	9	3	32	212	225	9	3	3	-4	229	242	17	13	True	False
0	3	9	3	15	195	490	9	3	9	7	503	507	17	4	True	False
0	3	9	3	59	239	123	9	3	3	5	132	140	17	8	True	True
0	3	9	3	38	218	60	9	3	6	9	87	96	36	9	True	False
0	3	9	3	28	208	330	18	-4	9	2	343	358	28	15	False	True
0	3	9	3	44	224	544	9	-1	18	2	555	567	23	12	False	True
0	3	9	3	10	190	599	9	3	15	8	623	634	35	11	True	True
0	3	9	3	53	233	457	6	4	15	3	487	497	40	10	False	True
0	3	9	3	16	196	422	6	1	6	-5	427	433	11	6	False	True
0	3	9	3	9	189	247	9	3	3	2	260	267	20	7	True	False
0	3	9	3	46	226	348	9	6	12	11	367	375	27	8	False	False
0	3	9	3	3	183	74	6	9	6	11	96	98	24	2	False	False
