id	dg_X	dg_Y	totalDelivered	currentDeliveries
20	3	1	0	2
50	3	1	0	2
56	3	13	0	2
52	21	1	0	2
30	18	20	0	2
31	18	28	0	2
38	0	31	0	2
22	21	1	0	3
12	6	8	0	3
40	6	0	0	3
48	9	5	0	3
26	3	13	0	3
35	12	16	0	3
49	18	24	0	3
32	9	10	0	3
5	12	16	0	4
45	15	15	0	4
21	15	10	0	4
0	18	20	0	5
1	18	28	0	5
2	9	10	0	5
10	6	0	0	5
15	15	15	0	5
18	9	5	0	5
19	18	24	0	5
23	12	4	0	5
42	6	8	0	5
51	15	10	0	5
53	12	4	0	5
3	0	33	0	0
36	3	35	0	0
37	3	33	0	0
39	27	34	0	0
41	9	34	0	0
43	0	46	0	0
44	3	38	0	0
46	3	33	0	0
47	21	45	0	0
54	0	45	0	0
55	15	32	0	0
57	27	6	0	0
34	18	41	0	0
33	0	33	0	0
4	18	41	0	0
6	3	35	0	0
7	3	33	0	0
8	0	31	0	0
9	27	34	0	0
11	9	34	0	0
13	0	46	0	0
58	21	26	0	0
14	3	38	0	0
17	21	45	0	0
24	0	45	0	0
25	15	32	0	0
27	27	6	0	0
28	21	26	0	0
29	6	43	0	0
16	3	33	0	0
59	6	43	0	0
