id	dg_X	dg_Y	deliveryNum	travelTimeToLoc	deliveryID	orderTime	start_X	start_Y	startTime	endTime	end_X	end_Y	totalOrderTime	travelTime
0	18	20	1	0	2125	0	18	13	7	28	13	13	28	21
0	18	20	3	4	8504	0	18	9	11	20	9	9	20	9
0	18	20	4	0	15179	0	9	9	20	24	9	13	24	4
0	18	20	5	0	4046	1	9	9	20	20	9	9	19	0
0	18	20	2	0	7547	0	13	13	28	33	13	18	33	5
1	18	28	1	0	8820	1	18	18	11	14	18	21	13	3
1	18	28	4	3	968	2	21	21	17	17	21	21	15	0
1	18	28	5	1	11929	2	21	22	18	19	22	22	17	1
1	18	28	3	1	5492	1	21	22	18	19	22	22	18	1
1	18	28	2	4	12210	1	21	22	18	26	22	15	25	8
2	9	10	1	0	11439	0	12	9	4	15	9	9	15	11
2	9	10	3	2	10980	0	12	7	6	11	7	7	11	5
2	9	10	4	0	3895	0	7	7	11	11	7	7	11	0
2	9	10	5	0	10045	0	7	7	11	11	7	7	11	0
2	9	10	2	0	477	0	9	9	15	18	9	12	18	3
5	12	16	1	0	2485	1	12	10	7	21	18	2	20	14
5	12	16	2	12	5420	3	18	4	19	29	12	0	26	10
5	12	16	4	0	5435	3	18	4	19	31	12	-2	28	12
5	12	16	3	0	15028	3	12	0	29	35	12	-6	32	6
10	6	0	1	0	10348	1	6	5	6	7	5	5	6	1
10	6	0	4	0	6290	1	5	5	7	7	5	5	6	0
10	6	0	2	1	12563	1	5	5	7	7	5	5	6	0
10	6	0	3	0	2755	1	5	5	7	7	5	5	6	0
10	6	0	5	8	6021	1	5	-3	15	23	-3	-3	22	8
12	6	8	1	0	11628	0	0	8	6	37	8	-3	37	31
12	6	8	2	5	6150	0	-3	6	11	32	6	0	32	21
12	6	8	3	13	7395	3	9	5	24	26	9	3	23	2
15	15	15	1	0	10845	0	15	10	5	10	10	10	10	5
15	15	15	2	5	6858	0	10	10	10	10	10	10	10	0
15	15	15	3	0	12982	0	10	10	10	10	10	10	10	0
15	15	15	4	0	660	0	10	10	10	10	10	10	10	0
15	15	15	5	1	10664	0	10	9	11	12	9	9	12	1
18	9	5	1	0	11308	1	9	2	4	11	2	2	10	7
18	9	5	3	0	5219	1	9	2	4	11	2	2	10	7
18	9	5	2	0	7457	1	2	2	11	18	2	9	17	7
18	9	5	4	0	5760	1	2	2	11	11	2	2	10	0
18	9	5	5	0	8141	1	2	2	11	11	2	2	10	0
19	18	24	1	0	4305	1	18	13	12	17	13	13	16	5
19	18	24	3	0	4113	1	13	13	17	17	13	13	16	0
19	18	24	4	0	1643	1	13	13	17	17	13	13	16	0
19	18	24	2	5	299	1	13	13	17	17	13	13	16	0
19	18	24	5	2	11523	1	13	15	19	21	15	15	20	2
20	3	1	1	0	5468	0	0	12	14	38	12	0	38	24
20	3	1	2	2	4231	0	0	10	16	30	10	6	30	14
21	15	10	1	0	5737	0	15	5	5	27	5	15	27	22
21	15	10	2	5	6948	0	15	10	10	19	10	12	19	9
21	15	10	4	6	6363	3	12	13	16	40	6	9	37	24
21	15	10	3	10	13630	3	6	6	37	43	9	9	40	6
22	21	1	1	0	14777	1	18	1	4	32	24	3	31	28
22	21	1	2	10	786	3	9	2	14	21	15	3	18	7
22	21	1	3	4	5418	3	18	4	25	35	24	6	32	10
23	12	4	1	0	7994	0	12	0	4	16	0	0	16	12
23	12	4	4	0	7432	0	0	0	16	16	0	0	16	0
23	12	4	3	0	1812	0	0	0	16	16	0	0	16	0
