,GFT,boro,num_of_progens,numeric_ind,progen_b10sc_1,progen_b10sc_2,progen_gft_1,progen_word_1,progen_word_2,sc5_1,sc5_2,stname
0,S,1,1,N,11701001010,0,,E,,117010,0,1 STREET
1,S,1,1,N,11703001010,0,,E,,117030,0,2 STREET
2,S,1,2,N,11705001010,13389001010,,E,W,117050,133890,3 STREET
3,S,1,2,N,11707001010,13391001010,,E,W,117070,133910,4 STREET
4,S,1,1,N,11707501010,0,,E,,117075,0,4 WALK
5,S,1,1,N,11709001010,0,,E,,117090,0,5 STREET
6,S,1,1,N,11709501010,0,,E,,117095,0,5 WALK
7,S,1,1,N,10031201010,0,,E,,100312,0,5 WALK PEDESTRIAN OPAS
8,S,1,1,N,19751020050,0,B,E,,197510,0,6 ST PEDESTRIAN BRIDGE
9,S,1,1,N,11711001010,0,,E,,117110,0,6 STREET
10,S,1,1,N,19751020090,0,B,E,,197510,0,6 STREET FOOT BRIDGE
11,S,1,1,N,19751020070,0,B,E,,197510,0,6 STREET FOOTBRIDGE
12,S,1,1,N,19751020040,0,B,E,,197510,0,6 STREET PEDESTRIAN BRDG
13,S,1,1,N,19751020020,0,B,E,,197510,0,6 STREET PEDESTRIAN OVPS
14,S,1,1,N,11713001010,0,,E,,117130,0,7 STREET
15,S,1,2,N,11715001010,13393001010,,E,W,117150,133930,8 STREET
16,S,1,2,N,11717001010,13395001010,,E,W,117170,133950,9 STREET
17,S,1,1,N,19751010020,0,B,E,,197510,0,10 ST PEDESTRIAN OVERPASS
18,S,1,2,N,11719001010,13397001010,,E,W,117190,133970,10 STREET
19,S,1,1,N,19751010010,0,B,E,,197510,0,10 STREET PEDESTRIAN OVPS
20,S,1,2,N,11721001010,13399001010,,E,W,117210,133990,11 STREET
21,S,1,2,N,11723001010,13401001010,,E,W,117230,134010,12 STREET
22,S,1,1,N,11726001020,0,,E,,117260,0,13 ST EXTENSION
23,S,1,2,N,11725001010,13403001010,,E,W,117250,134030,13 STREET
24,S,1,1,N,11726001010,0,,E,,117260,0,13 STREET EXTENSION
25,S,1,1,N,11727005020,0,,E,,117270,0,14 ST EASTBOUND ROADBED
26,S,1,1,N,11728001020,0,,E,,117280,0,14 ST EXTENSION
27,S,1,1,N,11082001110,0,Z,E,,110820,0,14 ST FDR DRIVE SB EN
28,S,1,1,N,11082001090,0,Z,E,,110820,0,14 ST SB ENTRANCE FDR DRV
29,S,1,1,N,11727004020,0,,E,,117270,0,14 ST WESTBOUND ROADBED
30,S,1,2,N,11727001010,13405001010,,E,W,117270,134050,14 STREET
31,S,1,1,N,11727005010,0,,E,,117270,0,14 STREET EB ROADBED
32,S,1,1,N,11728001010,0,,E,,117280,0,14 STREET EXTENSION
33,S,1,1,N,11082001120,0,Z,E,,110820,0,14 STREET FDR DRIVE SB EN
34,S,1,1,N,11727004010,0,,E,,117270,0,14 STREET WB ROADBED
35,S,1,1,N,11730001020,0,,E,,117300,0,15 ST EXTENSION
36,S,1,2,N,11729001010,13407001010,,E,W,117290,134070,15 STREET
37,S,1,1,N,11730001010,0,,E,,117300,0,15 STREET EXTENSION
38,S,1,2,N,11731001010,13409001010,,E,W,117310,134090,16 STREET
39,S,1,2,N,11733001010,13411001010,,E,W,117330,134110,17 STREET
40,S,1,2,N,11735001010,13413001010,,E,W,117350,134130,18 STREET
41,S,1,2,N,11737001010,13415001010,,E,W,117370,134150,19 STREET
42,S,1,1,N,11739004020,0,,E,,117390,0,20 ST EASTBOUND ROADBED
43,S,1,1,N,11740001020,0,,E,,117400,0,20 ST EXTENSION
44,S,1,1,N,11082501110,0,Z,E,,110825,0,20 ST FDR DRIVE SB EN
45,S,1,1,N,11082501090,0,Z,E,,110825,0,20 ST SB ENTRANCE FDR DRV
46,S,1,1,N,11739003020,0,,E,,117390,0,20 ST WESTBOUND ROADBED
47,S,1,2,N,11739001010,13417001010,,E,W,117390,134170,20 STREET
48,S,1,1,N,11739004010,0,,E,,117390,0,20 STREET EB ROADBED
49,S,1,1,N,11740001010,0,,E,,117400,0,20 STREET EXTENSION
50,S,1,1,N,11082501120,0,Z,E,,110825,0,20 STREET FDR DRIVE SB EN
51,S,1,1,N,11739003010,0,,E,,117390,0,20 STREET WB ROADBED
52,S,1,2,N,11741001010,13419001010,,E,W,117410,134190,21 STREET
53,S,1,2,N,11743001010,13421001010,,E,W,117430,134210,22 STREET
54,S,1,1,N,11745003020,0,,E,,117450,0,23 ST EASTBOUND ROADBED
55,S,1,1,N,11746001020,0,,E,,117460,0,23 ST EXTENSION
56,S,1,1,N,11745002020,0,,E,,117450,0,23 ST WESTBOUND ROADBED
57,S,1,2,N,11745001010,13423001010,,E,W,117450,134230,23 STREET
58,S,1,1,N,11745003010,0,,E,,117450,0,23 STREET EB ROADBED
59,S,1,1,N,11746001010,0,,E,,117460,0,23 STREET EXTENSION
60,S,1,1,N,11745002010,0,,E,,117450,0,23 STREET WB ROADBED
61,S,1,2,N,11747001010,13425001010,,E,W,117470,134250,24 STREET
62,S,1,1,N,11749501010,0,B,E,,117495,0,25 ST BRIDGE
63,S,1,1,N,11750001020,0,,E,,117500,0,25 ST EXTENSION
64,S,1,1,N,19751021080,0,B,E,,197510,0,25 ST FOOT BRIDGE
65,S,1,1,N,19751021060,0,B,E,,197510,0,25 ST FOOTBRIDGE
