Address	Zip	Lat.	Long.
--	1 ave loop, Manhattan, NY	10009	40.7325018	-73.9813167
--	3 ave bridge approach, Manhattan, NY	11201	40.6982718	-73.9859645
--	6 1/2 ave, Manhattan, NY	None	40.7631283	-73.9803015
--	7 ave s, Manhattan, NY	10014	40.7327751	-74.0032935
--	14 street loop, Manhattan, NY	10009	40.7309845	-73.978617
--	20 street loop, Manhattan, NY	10009	40.7325343	-73.977166
0	34 street bid, Manhattan, NY	None	40.790278	-73.959722
1	34 street bid, Manhattan, NY	None	40.7830603	-73.9712488
0	47 street bid, Manhattan, NY	None	40.790278	-73.959722
1	47 street bid, Manhattan, NY	None	40.7830603	-73.9712488
--	65 st transverse, Manhattan, NY	None	40.7699042	-73.9747534
0	66 cpk st, Manhattan, NY	None	40.790278	-73.959722
1	66 cpk st, Manhattan, NY	None	40.7830603	-73.9712488
--	79 st transverse, Manhattan, NY	None	40.7781748	-73.9664256
--	86 st transverse, Manhattan, NY	10024	40.783425	-73.966849
--	97 st transverse, Manhattan, NY	None	40.7916391	-73.9625309
--	102 street crossing, Manhattan, NY	10009	40.7270843	-73.9846762
0	125 street bid, Manhattan, NY	None	40.790278	-73.959722
1	125 street bid, Manhattan, NY	None	40.7830603	-73.9712488
--	a rd, Manhattan, NY	10035	40.7853859	-73.9239451
0	abingdon sq, Manhattan, NY	10014	40.736983	-74.0054442
1	abingdon sq, Manhattan, NY	10014	40.737341	-74.0053154
--	absecon rd, Manhattan, NY	11231	40.6897319	-74.0225643
0	actors equity corner, Manhattan, NY	None	40.790278	-73.959722
1	actors equity corner, Manhattan, NY	None	40.7830603	-73.9712488
0	admiral george dewey promenade, Manhattan, NY	None	40.790278	-73.959722
1	admiral george dewey promenade, Manhattan, NY	None	40.7830603	-73.9712488
--	adolph lewison plz, Manhattan, NY	None	40.7384018	-73.9732231
0	alex hamilton sq, Manhattan, NY	None	40.8459873	-73.9301752
1	alex hamilton sq, Manhattan, NY	10024	40.7808055	-73.9649445
--	allen dr, Manhattan, NY	10035	40.7909883	-73.9187062
0	alley, Manhattan, NY	None	40.7128417	-73.9939016
1	alley, Manhattan, NY	None	40.802479	-73.9586849
2	alley, Manhattan, NY	None	40.7212899	-73.9488901
3	alley, Manhattan, NY	None	40.8482565	-73.9367949
4	alley, Manhattan, NY	10307	40.502149	-74.2417108
5	alley, Manhattan, NY	None	40.5881061	-73.9661043
6	alley, Manhattan, NY	10002	40.714229	-73.9941696
