,Unnamed: 0,boro,stname,numeric_ind,GFT,len_full_name,num_of_progens,progen_word_1,progen_gft_1,progen_b10sc_1,progen_word_2,progen_gft_2,progen_b10sc_2,clean_name
0,0,1,   1 STREET                     ,N,S,16,1,E, ,11701001010, , ,           ,1 st
1,1,1,   2 STREET                     ,N,S,16,1,E, ,11703001010, , ,           ,2 st
2,2,1,   3 STREET                     ,N,S,16,2,E, ,11705001010,W, ,13389001010,3 st
3,3,1,   4 STREET                     ,N,S,16,2,E, ,11707001010,W, ,13391001010,4 st
4,4,1,   4 WALK                       ,N,S,14,1,E, ,11707501010, , ,           ,4 walk
5,5,1,   5 STREET                     ,N,S,16,1,E, ,11709001010, , ,           ,5 st
6,6,1,   5 WALK                       ,N,S,14,1,E, ,11709501010, , ,           ,5 walk
7,7,1,   5 WALK PEDESTRIAN OPAS       ,N,S,30,1,E, ,10031201010, , ,           ,5 walk pedestrian opas
8,8,1,   6 ST PEDESTRIAN BRIDGE       ,N,S,30,1,E,B,19751020050, , ,           ,6 st pedestrian bridge
9,9,1,   6 STREET                     ,N,S,16,1,E, ,11711001010, , ,           ,6 st
10,10,1,   6 STREET FOOT BRIDGE         ,N,S,28,1,E,B,19751020090, , ,           ,6 street foot bridge
11,11,1,   6 STREET FOOTBRIDGE          ,N,S,27,1,E,B,19751020070, , ,           ,6 street footbridge
12,12,1,   6 STREET PEDESTRIAN BRDG     ,N,S,32,1,E,B,19751020040, , ,           ,6 street pedestrian brdg
13,13,1,   6 STREET PEDESTRIAN OVPS     ,N,S,32,1,E,B,19751020020, , ,           ,6 street pedestrian ovps
14,14,1,   7 STREET                     ,N,S,16,1,E, ,11713001010, , ,           ,7 st
15,15,1,   8 STREET                     ,N,S,16,2,E, ,11715001010,W, ,13393001010,8 st
16,16,1,   9 STREET                     ,N,S,16,2,E, ,11717001010,W, ,13395001010,9 st
17,17,1,  10 ST PEDESTRIAN OVERPASS     ,N,S,32,1,E,B,19751010020, , ,           ,10 st pedestrian overpass
18,18,1,  10 STREET                     ,N,S,16,2,E, ,11719001010,W, ,13397001010,10 st
19,19,1,  10 STREET PEDESTRIAN OVPS     ,N,S,32,1,E,B,19751010010, , ,           ,10 street pedestrian ovps
20,20,1,  11 STREET                     ,N,S,16,2,E, ,11721001010,W, ,13399001010,11 st
21,21,1,  12 STREET                     ,N,S,16,2,E, ,11723001010,W, ,13401001010,12 st
22,22,1,  13 ST EXTENSION               ,N,S,22,1,E, ,11726001020, , ,           ,13 st extension
23,23,1,  13 STREET                     ,N,S,16,2,E, ,11725001010,W, ,13403001010,13 st
24,24,1,  13 STREET EXTENSION           ,N,S,26,1,E, ,11726001010, , ,           ,13 street extension
25,25,1,  14 ST EASTBOUND ROADBED       ,N,S,30,1,E, ,11727005020, , ,           ,14 st eastbound roadbed
26,26,1,  14 ST EXTENSION               ,N,S,22,1,E, ,11728001020, , ,           ,14 st extension
27,27,1,  14 ST FDR DRIVE SB EN         ,N,S,28,1,E,Z,11082001110, , ,           ,14 st fdr drive sb en
28,28,1,  14 ST SB ENTRANCE FDR DRV     ,N,S,32,1,E,Z,11082001090, , ,           ,14 st sb entrance fdr drv
29,29,1,  14 ST WESTBOUND ROADBED       ,N,S,30,1,E, ,11727004020, , ,           ,14 st westbound roadbed
30,30,1,  14 STREET                     ,N,S,16,2,E, ,11727001010,W, ,13405001010,14 st
31,31,1,  14 STREET EB ROADBED          ,N,S,27,1,E, ,11727005010, , ,           ,14 street eb roadbed
32,32,1,  14 STREET EXTENSION           ,N,S,26,1,E, ,11728001010, , ,           ,14 street extension
33,33,1,  14 STREET FDR DRIVE SB EN     ,N,S,32,1,E,Z,11082001120, , ,           ,14 street fdr drive sb en
34,34,1,  14 STREET WB ROADBED          ,N,S,27,1,E, ,11727004010, , ,           ,14 street wb roadbed
35,35,1,  15 ST EXTENSION               ,N,S,22,1,E, ,11730001020, , ,           ,15 st extension
36,36,1,  15 STREET                     ,N,S,16,2,E, ,11729001010,W, ,13407001010,15 st
37,37,1,  15 STREET EXTENSION           ,N,S,26,1,E, ,11730001010, , ,           ,15 street extension
38,38,1,  16 STREET                     ,N,S,16,2,E, ,11731001010,W, ,13409001010,16 st
39,39,1,  17 STREET                     ,N,S,16,2,E, ,11733001010,W, ,13411001010,17 st
40,40,1,  18 STREET                     ,N,S,16,2,E, ,11735001010,W, ,13413001010,18 st
41,41,1,  19 STREET                     ,N,S,16,2,E, ,11737001010,W, ,13415001010,19 st
42,42,1,  20 ST EASTBOUND ROADBED       ,N,S,30,1,E, ,11739004020, , ,           ,20 st eastbound roadbed
43,43,1,  20 ST EXTENSION               ,N,S,22,1,E, ,11740001020, , ,           ,20 st extension
44,44,1,  20 ST FDR DRIVE SB EN         ,N,S,28,1,E,Z,11082501110, , ,           ,20 st fdr drive sb en
45,45,1,  20 ST SB ENTRANCE FDR DRV     ,N,S,32,1,E,Z,11082501090, , ,           ,20 st sb entrance fdr drv
46,46,1,  20 ST WESTBOUND ROADBED       ,N,S,30,1,E, ,11739003020, , ,           ,20 st westbound roadbed
47,47,1,  20 STREET                     ,N,S,16,2,E, ,11739001010,W, ,13417001010,20 st
48,48,1,  20 STREET EB ROADBED          ,N,S,27,1,E, ,11739004010, , ,           ,20 street eb roadbed
49,49,1,  20 STREET EXTENSION           ,N,S,26,1,E, ,11740001010, , ,           ,20 street extension
50,50,1,  20 STREET FDR DRIVE SB EN     ,N,S,32,1,E,Z,11082501120, , ,           ,20 street fdr drive sb en
51,51,1,  20 STREET WB ROADBED          ,N,S,27,1,E, ,11739003010, , ,           ,20 street wb roadbed
52,52,1,  21 STREET                     ,N,S,16,2,E, ,11741001010,W, ,13419001010,21 st
53,53,1,  22 STREET                     ,N,S,16,2,E, ,11743001010,W, ,13421001010,22 st
54,54,1,  23 ST EASTBOUND ROADBED       ,N,S,30,1,E, ,11745003020, , ,           ,23 st eastbound roadbed
55,55,1,  23 ST EXTENSION               ,N,S,22,1,E, ,11746001020, , ,           ,23 st extension
56,56,1,  23 ST WESTBOUND ROADBED       ,N,S,30,1,E, ,11745002020, , ,           ,23 st westbound roadbed
57,57,1,  23 STREET                     ,N,S,16,2,E, ,11745001010,W, ,13423001010,23 st
58,58,1,  23 STREET EB ROADBED          ,N,S,27,1,E, ,11745003010, , ,           ,23 street eb roadbed
59,59,1,  23 STREET EXTENSION           ,N,S,26,1,E, ,11746001010, , ,           ,23 street extension
60,60,1,  23 STREET WB ROADBED          ,N,S,27,1,E, ,11745002010, , ,           ,23 street wb roadbed
61,61,1,  24 STREET                     ,N,S,16,2,E, ,11747001010,W, ,13425001010,24 st
62,62,1,  25 ST BRIDGE                  ,N,S,19,1,E,B,11749501010, , ,           ,25 st bridge
63,63,1,  25 ST EXTENSION               ,N,S,22,1,E, ,11750001020, , ,           ,25 st extension
64,64,1,  25 ST FOOT BRIDGE             ,N,S,24,1,E,B,19751021080, , ,           ,25 st foot bridge
65,65,1,  25 ST FOOTBRIDGE              ,N,S,23,1,E,B,19751021060, , ,           ,25 st footbridge
66,66,1,  25 ST PEDESTRIAN BRIDGE       ,N,S,30,1,E,B,19751021040, , ,           ,25 st pedestrian bridge
67,67,1,  25 ST PEDESTRIAN OVERPASS     ,N,S,32,1,E,B,19751021020, , ,           ,25 st pedestrian overpass
68,68,1,  25 STREET                     ,N,S,16,2,E, ,11749001010,W, ,13427001010,25 st
69,69,1,  25 STREET BRIDGE              ,N,S,23,1,E,B,11749501020, , ,           ,25 street bridge
70,70,1,  25 STREET EXTENSION           ,N,S,26,1,E, ,11750001010, , ,           ,25 street extension
71,71,1,  25 STREET FOOT BRIDGE         ,N,S,28,1,E,B,19751021070, , ,           ,25 street foot bridge
72,72,1,  25 STREET FOOTBRIDGE          ,N,S,27,1,E,B,19751021050, , ,           ,25 street footbridge
73,73,1,  25 STREET PEDESTRIAN BRDG     ,N,S,32,1,E,B,19751021030, , ,           ,25 street pedestrian brdg
