,common_use,usps_abbr
0,ABACUS,ABCS
1,ABCS,ABCS
2,ABOVE,ABV
3,ABV,ABV
4,ABRASIVE,ABR
5,ABR,ABR
6,ABRSV,ABR
7,ABROAD,ABRD
8,ABRD,ABRD
9,ABSOLUTE,ABSLT
10,ABSLT,ABSLT
11,ABSTRACT,ABSTRCT
12,ABSTRCT,ABSTRCT
13,ACADEMIC,ACDMC
14,ACDMC,ACDMC
15,ACADEMY,ACDMY
16,ACAD,ACDMY
17,ACADEM,ACDMY
18,ACDMY,ACDMY
19,ACCESS,ACCSS
20,ACCSS,ACCSS
21,ACCESSORY,ACC
22,ACC,ACC
23,ACCIDENT,ACDNT
24,ACC,ACDNT
25,ACDNT,ACDNT
26,ACCOMPLISHMENT,ACCMPLSMNT
27,ACCMPLSSMNT,ACCMPLSMNT
28,ACCOUNT,ACCMPLSMNT
29,AC,ACCMPLSMNT
30,ACC,ACCMPLSMNT
31,ACCNT,ACCMPLSMNT
32,ACCONT,ACCMPLSMNT
33,ACCOUNTANCY,ACCTNCY
34,ACC,ACCTNCY
35,ACCOUNTANC,ACCTNCY
36,ACCOUNTY,ACCTNCY
37,ACCTNCY,ACCTNCY
38,ACCOUNTANT,ACCNT
39,AC,ACCNT
40,ACC,ACCNT
41,ACCNT,ACCNT
42,ACCT,ACCNT
43,ACCTANT,ACCNT
44,ACCTNT,ACCNT
45,ACT,ACCNT
46,ACCOUNTING,ACCTG
47,ACCTG,ACCTG
48,ACCTNG,ACCTG
49,ACTG,ACCTG
50,ACCREDITED,ACCRDTD
51,ACCRDTD,ACCRDTD
52,ACCREDITATION,ACCRDTN
53,ACCRDTN,ACCRDTN
54,ACCURACY,ACCRCY
55,ACCRCY,ACCRCY
56,ACCURATE,ACCRT
57,ACCRT,ACCRT
58,ACHIEVEMENT,ACHVMNT
59,ACHVMNT,ACHVMNT
60,ACOUSTIC,ACSTC
61,ACSTC,ACSTC
62,ACQUISITION,ACQSTN
63,ACQSTN,ACQSTN
64,ACQUIS,ACQSTN
65,ACROSS,ACR
66,ACR,ACR
67,ACTING,ACTNG
68,ACTNG,ACTNG
69,ACTION,ACTN
70,ACTN,ACTN
71,ACTIVITY,ACTVTY
72,ACCT,ACTVTY
73,ACTVT,ACTVTY
