,common_use,usps_abbr,pattern,combined,abbr_type
0,&amp;,&amp;,&amp;,"('&amp;', '&amp;')",business
1,&amp;&amp;,&amp;,&amp;&amp;,"('&amp;&amp;', '&amp;')",business
2,10TH,10TH,10th,"('10th', '10th')",business
3,11TH,11TH,11th,"('11th', '11th')",business
4,14TH,14TH,14th,"('14th', '14th')",business
5,1ST,1ST,1st,"('1st', '1st')",business
6,2ND,2ND,2nd,"('2nd', '2nd')",business
7,3RD,3RD,3rd,"('3rd', '3rd')",business
8,4TH,4TH,4th,"('4th', '4th')",business
9,5TH,5TH,5th,"('5th', '5th')",business
10,6TH,6TH,6th,"('6th', '6th')",business
11,7TH,7TH,7th,"('7th', '7th')",business
12,8TH,8TH,8th,"('8th', '8th')",business
13,9TH,9TH,9th,"('9th', '9th')",business
14,AB,ABP,ab,"('ab', 'abp')",business
15,ABACUS,ABCS,abacus,"('abacus', 'abcs')",business
16,ABCS,ABCS,abcs,"('abcs', 'abcs')",business
17,ABOVE,ABV,above,"('above', 'abv')",business
18,ABP,ABP,abp,"('abp', 'abp')",business
19,ABR,ABR,abr,"('abr', 'abr')",business
20,ABRASIVE,ABR,abrasive,"('abrasive', 'abr')",business
21,ABRD,ABRD,abrd,"('abrd', 'abrd')",business
22,ABROAD,ABRD,abroad,"('abroad', 'abrd')",business
23,ABRSV,ABR,abrsv,"('abrsv', 'abr')",business
24,ABSLT,ABSLT,abslt,"('abslt', 'abslt')",business
25,ABSOLUTE,ABSLT,absolute,"('absolute', 'abslt')",business
26,ABSTRACT,ABSTRCT,abstract,"('abstract', 'abstrct')",business
27,ABSTRCT,ABSTRCT,abstrct,"('abstrct', 'abstrct')",business
28,ABV,ABV,abv,"('abv', 'abv')",business
29,AC,AID,ac | ac | ac | ac,"('ac | ac | ac | ac', 'aid')",business
30,ACAD,ACDMY,acad,"('acad', 'acdmy')",business
31,ACADEM,ACDMY,academ,"('academ', 'acdmy')",business
32,ACADEMIC,ACDMC,academic,"('academic', 'acdmc')",business
33,ACADEMY,ACDMY,academy,"('academy', 'acdmy')",business
34,ACC,ACCNT,acc | acc | acc | acc | acc,"('acc | acc | acc | acc | acc', 'accnt')",business
35,ACCESS,ACCSS,access,"('access', 'accss')",business
36,ACCESSORY,ACC,accessory,"('accessory', 'acc')",business
37,ACCIDENT,ACDNT,accident,"('accident', 'acdnt')",business
38,ACCMPLSSMNT,ACCMPLSMNT,accmplssmnt,"('accmplssmnt', 'accmplsmnt')",business
39,ACCNT,ACCNT,accnt | accnt,"('accnt | accnt', 'accnt')",business
40,ACCOMPLISHMENT,ACCMPLSMNT,accomplishment,"('accomplishment', 'accmplsmnt')",business
41,ACCONT,ACCMPLSMNT,accont,"('accont', 'accmplsmnt')",business
42,ACCOUNT,ACCMPLSMNT,account,"('account', 'accmplsmnt')",business
43,ACCOUNTANC,ACCTNCY,accountanc,"('accountanc', 'acctncy')",business
44,ACCOUNTANCY,ACCTNCY,accountancy,"('accountancy', 'acctncy')",business
45,ACCOUNTANT,ACCNT,accountant,"('accountant', 'accnt')",business
46,ACCOUNTING,ACCTG,accounting,"('accounting', 'acctg')",business
47,ACCOUNTY,ACCTNCY,accounty,"('accounty', 'acctncy')",business
48,ACCRCY,ACCRCY,accrcy,"('accrcy', 'accrcy')",business
49,ACCRDTD,ACCRDTD,accrdtd,"('accrdtd', 'accrdtd')",business
50,ACCRDTN,ACCRDTN,accrdtn,"('accrdtn', 'accrdtn')",business
51,ACCREDITATION,ACCRDTN,accreditation,"('accreditation', 'accrdtn')",business
52,ACCREDITED,ACCRDTD,accredited,"('accredited', 'accrdtd')",business
53,ACCRT,ACCRT,accrt,"('accrt', 'accrt')",business
54,ACCSS,ACCSS,accss,"('accss', 'accss')",business
55,ACCT,ACTRY,acct | acct | acct,"('acct | acct | acct', 'actry')",business
56,ACCTANT,ACCNT,acctant,"('acctant', 'accnt')",business
57,ACCTG,ACCTG,acctg,"('acctg', 'acctg')",business
58,ACCTNCY,ACCTNCY,acctncy,"('acctncy', 'acctncy')",business
59,ACCTNG,ACCTG,acctng,"('acctng', 'acctg')",business
60,ACCTNT,ACCNT,acctnt,"('acctnt', 'accnt')",business
61,ACCUNT,ACTUARIAL,accunt,"('accunt', 'actuarial')",business
62,ACCURACY,ACCRCY,accuracy,"('accuracy', 'accrcy')",business
63,ACCURATE,ACCRT,accurate,"('accurate', 'accrt')",business
64,ACDMC,ACDMC,acdmc,"('acdmc', 'acdmc')",business
65,ACDMY,ACDMY,acdmy,"('acdmy', 'acdmy')",business
66,ACDNT,ACDNT,acdnt,"('acdnt', 'acdnt')",business
67,ACHIEVEMENT,ACHVMNT,achievement,"('achievement', 'achvmnt')",business
68,ACHVMNT,ACHVMNT,achvmnt,"('achvmnt', 'achvmnt')",business
69,ACNT,ACTUARIAL,acnt,"('acnt', 'actuarial')",business
70,ACOUSTIC,ACSTC,acoustic,"('acoustic', 'acstc')",business
71,ACPNCTR,ACPNCTR,acpnctr,"('acpnctr', 'acpnctr')",business
72,ACQSTN,ACQSTN,acqstn,"('acqstn', 'acqstn')",business
73,ACQUIS,ACQSTN,acquis,"('acquis', 'acqstn')",business
74,ACQUISITION,ACQSTN,acquisition,"('acquisition', 'acqstn')",business
75,ACR,ACR,acr,"('acr', 'acr')",business
76,ACROSS,ACR,across,"('across', 'acr')",business
77,ACSTC,ACSTC,acstc,"('acstc', 'acstc')",business
78,ACT,ACCNT,act,"('act', 'accnt')",business
79,ACTG,ACCTG,actg,"('actg', 'acctg')",business
80,ACTING,ACTNG,acting,"('acting', 'actng')",business
81,ACTION,ACTN,action,"('action', 'actn')",business
82,ACTIVITY,ACTVTY,activity,"('activity', 'actvty')",business
83,ACTN,ACTN,actn,"('actn', 'actn')",business
84,ACTNG,ACTNG,actng,"('actng', 'actng')",business
85,ACTNRG,ACTNRG,actnrg,"('actnrg', 'actnrg')",business
86,ACTOR,ACTR,actor,"('actor', 'actr')",business
87,ACTR,ACTR,actr,"('actr', 'actr')",business
88,ACTRL,ACTUARIAL,actrl | actrl,"('actrl | actrl', 'actuarial')",business
89,ACTRY,ACTRY,actry,"('actry', 'actry')",business
90,ACTUARY,ACTRY,actuary,"('actuary', 'actry')",business
91,ACTURIAL,ACTUARIAL,acturial,"('acturial', 'actuarial')",business
92,ACTVT,ACTVTY,actvt,"('actvt', 'actvty')",business
93,ACTVTY,ACTVTY,actvty,"('actvty', 'actvty')",business
94,ACUPUNCTURE,ACPNCTR,acupuncture,"('acupuncture', 'acpnctr')",business
95,AD,ADVTSNG,ad | ad | ad | ad,"('ad | ad | ad | ad', 'advtsng')",business
96,ADDITION,ADDTN,addition,"('addition', 'addtn')",business
97,ADDR,ADDR,addr,"('addr', 'addr')",business
98,ADDRESS,ADDR,address,"('address', 'addr')",business
99,ADDTN,ADDTN,addtn,"('addtn', 'addtn')",business
100,ADHESIVE,ADHSV,adhesive,"('adhesive', 'adhsv')",business
101,ADHSV,ADHSV,adhsv,"('adhsv', 'adhsv')",business
102,ADJ,ADJT,adj | adj | adj,"('adj | adj | adj', 'adjt')",business
103,ADJMT,ADJMT,adjmt,"('adjmt', 'adjmt')",business
104,ADJT,ADJT,adjt | adjt | adjt,"('adjt | adjt | adjt', 'adjt')",business
105,ADJTER,ADJTER,adjter,"('adjter', 'adjter')",business
106,ADJTOR,ADJTOR,adjtor,"('adjtor', 'adjtor')",business
107,ADJUSTER,ADJTER,adjuster,"('adjuster', 'adjter')",business
108,ADJUSTMENT,ADJMT,adjustment,"('adjustment', 'adjmt')",business
109,ADJUSTOR,ADJTOR,adjustor,"('adjustor', 'adjtor')",business
110,ADJUTANT,ADJT,adjutant,"('adjutant', 'adjt')",business
111,ADLT,ADLT,adlt,"('adlt', 'adlt')",business
112,ADM,ADM,adm | adm,"('adm | adm', 'adm')",business
113,ADMIN,ADMNSTR,admin | admin | admin,"('admin | admin | admin', 'admnstr')",business
114,ADMINI,ADMNSTRV,admini,"('admini', 'admnstrv')",business
115,ADMINIST,ADMN,administ,"('administ', 'admn')",business
116,ADMINISTER,ADMNSTR,administer,"('administer', 'admnstr')",business
117,ADMINISTR,ADMNSTR,administr,"('administr', 'admnstr')",business
